productID,warehouse,date,stockonhand,stockreceived,stockdispatched
83726896,New Annette,2023-01-01,487,10,39
94495683,Lake William,2023-01-01,346,19,46
92484741,Jacksonshire,2023-01-01,194,21,13
81303189,West Charlene,2023-01-01,200,26,18
73560601,East Robert,2023-01-01,66,15,49
35308493,Rodriguezfurt,2023-01-01,294,31,17
97174049,Smithville,2023-01-01,304,20,30
57577207,East Williamborough,2023-01-01,260,8,9
41369194,Jenniferport,2023-01-01,223,22,24
12107168,Karenhaven,2023-01-01,244,9,46
27482776,North Frances,2023-01-01,454,44,28
95711685,Henryville,2023-01-01,155,43,23
62274188,West Victoria,2023-01-01,98,33,5
38074047,South Dawnport,2023-01-01,406,28,37
87859091,Paulburgh,2023-01-01,242,39,26
36710721,Jasminfort,2023-01-01,500,42,19
26189500,West Davidhaven,2023-01-01,200,37,17
83749081,New Madelinestad,2023-01-01,200,25,46
91889490,Laurahaven,2023-01-01,470,45,41
41800749,Kimberlychester,2023-01-01,178,19,23
73836678,South Tommy,2023-01-01,235,24,30
24180885,Jessicabury,2023-01-01,130,16,8
39381816,East Michael,2023-01-01,285,3,2
27494158,North Jamiefurt,2023-01-01,134,43,24
46266607,Lake Nicholasmouth,2023-01-01,183,32,10
41411741,Deleonfort,2023-01-01,461,17,18
14707923,Philliphaven,2023-01-01,62,29,17
39414291,Riveraton,2023-01-01,149,1,42
52627607,North Kelly,2023-01-01,49,23,2
12096049,South Tammyburgh,2023-01-01,490,1,14
64258488,Sarahland,2023-01-01,326,40,44
12381489,Schneidertown,2023-01-01,8,50,22
23794514,Walkerton,2023-01-01,124,46,28
69897469,Davidville,2023-01-01,456,43,35
36090818,Deleonmouth,2023-01-01,311,45,9
28551812,Arnoldton,2023-01-01,338,31,42
45401298,Gomezside,2023-01-01,374,38,10
24467771,East Diane,2023-01-01,225,41,20
57312547,Lake Kendramouth,2023-01-01,133,6,34
55785654,Caitlinport,2023-01-01,441,11,8
97236566,East Frankside,2023-01-01,309,23,17
44881444,Stewartland,2023-01-01,417,0,11
66317115,Blevinstown,2023-01-01,426,16,13
92004118,Cochranside,2023-01-01,276,27,3
27013178,Kimberlyview,2023-01-01,218,12,33
50100961,Perezmouth,2023-01-01,14,14,34
56078737,Annaland,2023-01-01,202,39,41
41352752,East James,2023-01-01,231,2,49
48560892,Knoxland,2023-01-01,325,32,23
41374841,Patrickton,2023-01-01,290,37,44
64747487,Lake Frank,2023-01-01,419,9,37
93891638,New Thomas,2023-01-01,106,38,36
86209673,Port Nicole,2023-01-01,110,43,21
55627792,Mitchellburgh,2023-01-01,192,15,4
46588675,East Eric,2023-01-01,467,24,0
71446606,Gomezmouth,2023-01-01,247,3,38
50286403,Lake Scott,2023-01-01,380,27,3
34146077,South Joshuastad,2023-01-01,170,0,37
18997766,Johnsonview,2023-01-01,186,48,14
41908272,Manuelfort,2023-01-01,210,38,30
30120626,New Steven,2023-01-01,127,29,36
66652473,South Nicole,2023-01-01,303,23,37
19735518,New Amyport,2023-01-01,328,27,18
84884142,Michaelburgh,2023-01-01,226,22,24
91284846,Lake Michelleshire,2023-01-01,496,34,32
42815710,East Laura,2023-01-01,311,24,38
85717482,Hoffmanview,2023-01-01,256,3,2
72700689,North Daniel,2023-01-01,404,6,31
32688088,Katieburgh,2023-01-01,49,42,4
57814296,North Pamelafort,2023-01-01,206,19,1
33979793,West Johnview,2023-01-01,114,41,2
78712716,South Elaine,2023-01-01,26,10,5
34377141,Meaganburgh,2023-01-01,17,45,33
70185597,Lake Brettchester,2023-01-01,345,39,22
96763299,South Abigailmouth,2023-01-01,443,12,22
31802523,Derrickland,2023-01-01,407,23,34
71491068,Georgeton,2023-01-01,417,14,45
59149190,Reginabury,2023-01-01,361,5,0
96691961,Robertberg,2023-01-01,428,34,33
39803447,Lake Jerryview,2023-01-01,436,50,48
14771357,West Daniel,2023-01-01,83,42,2
61151740,Port Kimberly,2023-01-01,459,21,37
27405738,East Christopherside,2023-01-01,23,41,28
93417020,Smithport,2023-01-01,125,20,3
61971293,North Stacyview,2023-01-01,2,28,22
49250863,Matthewburgh,2023-01-01,302,45,47
72299191,Kristinashire,2023-01-01,60,14,7
24527043,South Andreshire,2023-01-01,168,19,17
51028650,North Sharon,2023-01-01,453,42,36
77648765,Christinemouth,2023-01-01,54,43,20
39250452,Penningtonfort,2023-01-01,138,32,50
15914105,East Vanessaville,2023-01-01,345,43,43
84018796,Medinamouth,2023-01-01,311,42,18
64035607,Riveramouth,2023-01-01,146,3,0
28682811,Dunlapshire,2023-01-01,27,5,45
69803638,New Sue,2023-01-01,398,6,30
34895830,Hamiltonfurt,2023-01-01,72,15,1
64662276,Christinaview,2023-01-01,364,27,8
65818192,Lake Andrea,2023-01-01,376,39,37
10610681,South Barryfurt,2023-01-01,183,5,13
55052289,Ericksonfort,2023-01-01,28,28,4
29072094,Smithhaven,2023-01-01,69,12,19
87673760,Lake Tiffanyborough,2023-01-01,274,27,0
40550908,West Zachary,2023-01-01,461,2,44
61835430,West Patriciabury,2023-01-01,490,49,35
30127786,Lake Michelleview,2023-01-01,286,7,16
44367877,Joyborough,2023-01-01,146,9,45
62267444,Port Seanfurt,2023-01-01,181,18,35
59328227,Michellemouth,2023-01-01,6,38,25
31194197,Michaelfurt,2023-01-01,140,46,31
96437896,Adambury,2023-01-01,319,7,5
61496842,New Michael,2023-01-01,396,46,32
45319452,North Marieport,2023-01-01,428,4,25
21695156,Lihaven,2023-01-01,273,19,20
92394611,Christinastad,2023-01-01,418,15,13
77407225,South Devinbury,2023-01-01,399,31,8
72200453,West Laurieshire,2023-01-01,344,24,19
56444931,East Lori,2023-01-01,69,27,11
39085184,North Dianaton,2023-01-01,272,38,36
57574779,Philiptown,2023-01-01,199,17,46
93816752,Vanessahaven,2023-01-01,126,46,12
16378142,West Nicholasshire,2023-01-01,235,18,28
27456227,Wrightfort,2023-01-01,295,25,3
95949144,Chelseaburgh,2023-01-01,46,38,44
24557787,Lake Scottborough,2023-01-02,166,6,30
31453826,Gonzalezside,2023-01-02,282,32,28
53194769,South Suzanne,2023-01-02,169,43,10
82030923,Woodmouth,2023-01-02,341,4,15
67236369,Lake Amyton,2023-01-02,248,8,12
75984274,West Daniel,2023-01-02,334,2,4
53432529,Lake Sethside,2023-01-02,391,20,30
91332946,Allenside,2023-01-02,395,11,0
20484268,New Laura,2023-01-02,73,1,20
16581755,East Wendy,2023-01-02,436,34,25
91688017,Abbottstad,2023-01-02,487,18,48
81636422,Mayoberg,2023-01-02,59,43,17
80312516,Martinezborough,2023-01-02,195,41,11
75422368,Port George,2023-01-02,387,6,42
36500494,Lake Julieport,2023-01-02,279,46,40
33377627,Lake Derrickchester,2023-01-02,99,27,31
53922823,West Johnmouth,2023-01-02,141,15,28
51344455,Weissburgh,2023-01-02,302,28,43
58018240,Ashleymouth,2023-01-02,390,36,19
77488853,Frederickfort,2023-01-02,61,48,0
83322651,Johnfort,2023-01-02,182,14,26
87326934,Rebeccamouth,2023-01-02,182,39,25
69414990,Ronaldhaven,2023-01-02,389,9,23
74525472,New Renee,2023-01-02,396,17,27
51323896,North Brianna,2023-01-02,145,1,11
16773513,Bethanychester,2023-01-02,164,3,0
85293601,East Steven,2023-01-02,402,36,41
90507882,Gibsonstad,2023-01-02,483,39,43
51920258,Stewartbury,2023-01-02,94,43,0
32323104,Lake Frank,2023-01-02,72,15,47
27857937,Jessicaburgh,2023-01-02,219,23,46
64153292,Clarkmouth,2023-01-02,97,20,14
18889704,Leetown,2023-01-02,287,35,9
22122462,Davidtown,2023-01-02,423,14,23
23245733,West James,2023-01-02,374,29,44
24968913,Danaland,2023-01-02,439,18,32
53008146,Nathanport,2023-01-02,58,39,36
50364010,Perezville,2023-01-02,301,1,18
54021411,Austinside,2023-01-02,495,38,24
67720690,West Micheal,2023-01-02,212,5,31
80030833,Charlesside,2023-01-02,77,12,5
98422712,East Johnfort,2023-01-02,238,21,9
75255625,Cooleyhaven,2023-01-02,205,12,43
52937194,Jamesville,2023-01-02,208,21,25
79293087,East Peter,2023-01-02,171,37,49
21238967,Feliciachester,2023-01-02,329,37,18
53672255,Pennystad,2023-01-02,195,7,0
26062417,East Heathermouth,2023-01-02,376,26,25
20209145,North Mary,2023-01-02,289,48,47
66895386,Andersonton,2023-01-02,407,4,50
52346226,New Teresaland,2023-01-02,340,25,24
43018594,Robertside,2023-01-02,123,42,25
44854072,Willisborough,2023-01-02,277,10,0
93979875,Michaelhaven,2023-01-02,211,21,22
64586756,Port Angelaland,2023-01-02,404,38,8
83251846,Benjamintown,2023-01-02,201,35,39
75193170,North Staciefort,2023-01-02,203,0,41
36503298,Michaelburgh,2023-01-02,69,8,50
47128867,Torresstad,2023-01-02,11,12,39
99173625,Parkerfurt,2023-01-02,130,33,7
27177924,West Veronicaborough,2023-01-02,317,29,40
23042655,Lake Tiffanyland,2023-01-02,128,2,34
17363217,Gregoryshire,2023-01-02,230,8,0
52110432,Ronaldshire,2023-01-02,389,30,30
56183206,Cunninghamborough,2023-01-02,9,3,36
23648198,New Alicia,2023-01-02,345,16,35
81342100,South Danielle,2023-01-02,8,10,48
46971431,Port Michele,2023-01-02,105,46,22
20443517,Joshuashire,2023-01-02,125,35,14
74146526,Davisfort,2023-01-02,42,33,45
60164332,Williamsberg,2023-01-02,320,25,47
44826668,Danafort,2023-01-02,466,13,44
98414013,Port Jessica,2023-01-02,144,35,3
61522316,East Samantha,2023-01-02,324,22,12
41320852,Roachborough,2023-01-02,324,36,28
84004718,Lake Desiree,2023-01-02,402,35,5
83726896,East Travis,2023-01-02,394,13,5
94495683,New Amy,2023-01-02,398,50,14
92484741,Rojasville,2023-01-02,289,24,2
81303189,Port Micheletown,2023-01-02,150,17,27
73560601,Port Williamview,2023-01-02,299,18,21
35308493,Lake Michaelfort,2023-01-02,376,3,7
97174049,Lake Sarah,2023-01-02,148,34,28
57577207,Angelaside,2023-01-02,172,20,37
41369194,Johnsonberg,2023-01-02,153,47,0
12107168,North Ashley,2023-01-02,285,40,49
27482776,Davidtown,2023-01-02,153,14,5
95711685,Lutzfurt,2023-01-02,471,40,42
62274188,East Nicolehaven,2023-01-02,133,11,14
38074047,New Sarah,2023-01-02,385,13,18
87859091,Jacquelinefort,2023-01-02,4,32,34
36710721,Stephensfort,2023-01-02,164,50,29
26189500,West Timothy,2023-01-02,451,15,4
83749081,Lake Kellystad,2023-01-02,314,39,20
91889490,Lake Todd,2023-01-02,121,16,8
41800749,East Steven,2023-01-02,265,33,37
73836678,Lake Megan,2023-01-02,231,12,25
24180885,West Lisa,2023-01-02,349,25,46
39381816,Bennettmouth,2023-01-02,403,6,33
27494158,Port Melissa,2023-01-02,32,25,4
46266607,North Marilyntown,2023-01-02,411,32,33
41411741,Markshire,2023-01-02,60,46,24
14707923,East Kathyport,2023-01-02,214,21,3
39414291,Amandaville,2023-01-02,162,39,2
52627607,Williamschester,2023-01-02,227,47,44
12096049,South Wendymouth,2023-01-02,114,43,2
64258488,Lake Kellymouth,2023-01-02,169,13,50
12381489,West Ashleeton,2023-01-02,207,24,9
23794514,Dunlapside,2023-01-02,352,11,37
69897469,Cooperville,2023-01-02,315,38,6
36090818,Fischerton,2023-01-02,211,35,9
28551812,Port Melissa,2023-01-02,361,38,19
45401298,Englishland,2023-01-02,2,34,9
24467771,Petersmouth,2023-01-02,306,31,20
57312547,New Jeffreyburgh,2023-01-02,187,22,41
55785654,East Kathleen,2023-01-02,330,39,4
97236566,Brendashire,2023-01-02,103,11,10
44881444,Benjaminfort,2023-01-02,27,29,34
66317115,East Eddieton,2023-01-02,93,32,44
92004118,North Brianchester,2023-01-02,281,30,37
27013178,Paulburgh,2023-01-02,297,8,23
50100961,West Susanton,2023-01-02,488,46,43
56078737,Thompsonside,2023-01-02,377,14,25
41352752,Kevinhaven,2023-01-02,500,29,1
48560892,North Erikaside,2023-01-02,269,24,23
41374841,Alvarezland,2023-01-02,480,6,44
64747487,Mortonberg,2023-01-02,134,34,9
93891638,Theodorefort,2023-01-02,255,26,46
86209673,New Davidhaven,2023-01-02,118,47,13
55627792,New Robertberg,2023-01-02,335,30,17
46588675,East Maria,2023-01-02,154,44,49
71446606,Seanland,2023-01-02,267,5,37
50286403,East Makaylaport,2023-01-02,222,28,19
34146077,South Sharonberg,2023-01-02,97,27,21
18997766,East Sarahfort,2023-01-02,160,47,8
41908272,Pattonchester,2023-01-02,204,2,22
30120626,Sanchezmouth,2023-01-02,257,32,24
66652473,New Heatherfort,2023-01-02,137,36,16
19735518,Joystad,2023-01-02,261,20,12
84884142,South Jefferyville,2023-01-02,113,50,42
91284846,West Nicholasburgh,2023-01-02,30,27,32
42815710,Margarethaven,2023-01-02,146,24,38
85717482,Lake Sarah,2023-01-02,322,28,19
72700689,South Joeborough,2023-01-02,445,49,10
32688088,Lake Mary,2023-01-02,215,15,7
57814296,Lake Joshua,2023-01-02,219,25,20
33979793,East Stephenfurt,2023-01-02,335,47,31
78712716,South William,2023-01-02,302,39,31
34377141,New Robert,2023-01-02,334,28,16
70185597,Edwinbury,2023-01-02,38,14,23
96763299,East Christinabury,2023-01-02,490,35,34
31802523,Ambermouth,2023-01-02,244,28,25
71491068,Millerland,2023-01-02,439,36,28
59149190,North Colinberg,2023-01-02,426,32,44
96691961,Jacksonton,2023-01-02,476,35,18
39803447,Medinaberg,2023-01-02,162,10,28
14771357,Courtneyfort,2023-01-02,109,42,24
61151740,Garciaport,2023-01-02,402,6,28
27405738,Jacksonmouth,2023-01-02,134,47,26
93417020,Lake Paultown,2023-01-02,115,10,49
61971293,Port Chad,2023-01-02,455,26,49
49250863,Vincentmouth,2023-01-02,414,16,44
72299191,Sarahview,2023-01-02,97,22,19
24527043,South Wandatown,2023-01-02,84,14,29
51028650,Carlaport,2023-01-02,255,25,42
77648765,East Ianhaven,2023-01-02,239,42,21
39250452,South Caitlinton,2023-01-02,143,50,50
15914105,Barnesport,2023-01-02,89,42,13
84018796,New Angela,2023-01-02,251,40,21
64035607,East Lauren,2023-01-02,183,10,28
28682811,East Andrea,2023-01-02,243,40,43
69803638,North Robintown,2023-01-02,442,18,25
34895830,East Mark,2023-01-02,244,6,11
64662276,Wesleyville,2023-01-02,459,30,4
65818192,West Ana,2023-01-02,416,50,46
10610681,Lake Matthew,2023-01-02,320,30,49
55052289,Josephborough,2023-01-02,49,32,20
29072094,Robinsonton,2023-01-02,296,4,23
87673760,Briannashire,2023-01-02,470,25,3
40550908,Charleston,2023-01-02,368,12,8
61835430,Goldenview,2023-01-02,218,32,25
30127786,South Johnny,2023-01-02,43,11,2
44367877,Rivasland,2023-01-02,370,30,25
62267444,Baileymouth,2023-01-02,206,47,26
59328227,New Julieview,2023-01-02,399,43,5
31194197,North Kelly,2023-01-02,402,39,39
96437896,West Melissa,2023-01-02,331,21,4
61496842,West Jenniferburgh,2023-01-02,210,16,15
45319452,Churchburgh,2023-01-02,205,20,6
21695156,South Brent,2023-01-02,175,48,27
92394611,Port Richardville,2023-01-02,204,22,37
77407225,Lisaborough,2023-01-02,176,16,38
72200453,Barberville,2023-01-02,153,6,21
56444931,Port Steventown,2023-01-02,321,19,5
39085184,West Keithport,2023-01-02,14,23,17
57574779,South Joseph,2023-01-02,441,5,20
93816752,Cainberg,2023-01-02,489,32,24
16378142,East Stephenhaven,2023-01-02,474,31,19
27456227,Ashleyberg,2023-01-02,41,31,14
95949144,North Victoriaton,2023-01-02,287,27,0
24557787,Hunttown,2023-01-03,10,34,48
31453826,Lake Brandon,2023-01-03,3,37,25
53194769,Cherylhaven,2023-01-03,306,37,11
82030923,South Scott,2023-01-03,302,44,25
67236369,Ralphtown,2023-01-03,242,24,19
75984274,Reyesport,2023-01-03,170,48,43
53432529,Simpsonchester,2023-01-03,475,2,34
91332946,Bakerview,2023-01-03,415,42,11
20484268,Port Derek,2023-01-03,116,26,11
16581755,Gabriellaland,2023-01-03,65,47,0
91688017,Sandyland,2023-01-03,467,25,49
81636422,New Meganmouth,2023-01-03,80,43,12
80312516,Port Nathaniel,2023-01-03,343,43,32
75422368,New Jonathan,2023-01-03,95,19,22
36500494,Heatherport,2023-01-03,276,5,45
33377627,Lake Kennethport,2023-01-03,77,3,40
53922823,Dicksonmouth,2023-01-03,357,12,13
51344455,Taylorside,2023-01-03,98,38,20
58018240,Port Gregory,2023-01-03,235,37,10
77488853,Amberland,2023-01-03,397,17,31
83322651,Katherineport,2023-01-03,368,3,6
87326934,Melanieborough,2023-01-03,405,9,9
69414990,Lisaborough,2023-01-03,182,46,25
74525472,West Stanleyport,2023-01-03,247,22,26
51323896,Brianhaven,2023-01-03,151,1,0
16773513,Andrewburgh,2023-01-03,486,1,22
85293601,East Joshuatown,2023-01-03,49,3,21
90507882,Claudialand,2023-01-03,73,1,25
51920258,Paulton,2023-01-03,64,45,24
32323104,Lake Paulstad,2023-01-03,490,33,44
27857937,Bushstad,2023-01-03,328,1,40
64153292,Susanside,2023-01-03,106,43,0
18889704,New William,2023-01-03,278,17,42
22122462,Bowmanborough,2023-01-03,173,48,17
23245733,Johnstad,2023-01-03,393,16,20
24968913,East Gregory,2023-01-03,82,17,42
53008146,Dennisberg,2023-01-03,55,8,39
50364010,New Logan,2023-01-03,131,40,12
54021411,North Kimberly,2023-01-03,299,34,25
67720690,Kevinstad,2023-01-03,210,42,32
80030833,Sherrystad,2023-01-03,325,37,30
98422712,East Julie,2023-01-03,219,3,36
75255625,East Steve,2023-01-03,63,50,8
52937194,Walkertown,2023-01-03,37,30,49
79293087,North Steven,2023-01-03,406,24,18
21238967,Kimberlybury,2023-01-03,168,3,39
53672255,East Sarafort,2023-01-03,205,12,34
26062417,West Matthewbury,2023-01-03,466,30,44
20209145,New Melissaland,2023-01-03,175,15,5
66895386,Kingland,2023-01-03,93,26,6
52346226,Lake Crystalbury,2023-01-03,100,23,31
43018594,West Phillipmouth,2023-01-03,380,43,0
44854072,Jamesbury,2023-01-03,157,16,40
93979875,Lake Tonyshire,2023-01-03,437,32,36
64586756,Phillipston,2023-01-03,373,16,41
83251846,East Rodneyview,2023-01-03,144,41,11
75193170,Johnton,2023-01-03,169,36,4
36503298,West Carla,2023-01-03,407,42,38
47128867,Jackmouth,2023-01-03,358,29,29
99173625,New Stevenfort,2023-01-03,263,42,49
27177924,Lake Andrewport,2023-01-03,439,27,12
23042655,West Richard,2023-01-03,427,5,39
17363217,South Diana,2023-01-03,187,22,29
52110432,West Melanieton,2023-01-03,366,21,14
56183206,New Rebeccaberg,2023-01-03,162,8,23
23648198,New Donna,2023-01-03,229,41,15
81342100,Thompsonmouth,2023-01-03,278,16,0
46971431,Katherinechester,2023-01-03,206,41,17
20443517,Kingport,2023-01-03,93,27,31
74146526,Gatesborough,2023-01-03,85,2,41
60164332,Lake Paulview,2023-01-03,12,2,7
44826668,Port Manuel,2023-01-03,361,46,13
98414013,West Katherineborough,2023-01-03,134,28,24
61522316,Millerhaven,2023-01-03,266,24,6
41320852,Lake Shelleyland,2023-01-03,398,0,10
84004718,Port Yeseniaberg,2023-01-03,155,15,33
83726896,East James,2023-01-03,53,41,19
94495683,South Jamieland,2023-01-03,487,47,7
92484741,Adamchester,2023-01-03,173,36,24
81303189,New Michelle,2023-01-03,160,18,7
73560601,Matthewmouth,2023-01-03,289,0,39
35308493,Aguirreshire,2023-01-03,306,37,19
97174049,Port Crystal,2023-01-03,473,47,33
57577207,Micheleview,2023-01-03,229,11,45
41369194,Gomezport,2023-01-03,401,5,38
12107168,Davidtown,2023-01-03,318,42,14
27482776,Christopherberg,2023-01-03,128,17,39
95711685,Lambshire,2023-01-03,188,16,29
62274188,Laurabury,2023-01-03,496,5,23
38074047,East Amy,2023-01-03,416,5,26
87859091,Jenniferchester,2023-01-03,66,13,28
36710721,Josephton,2023-01-03,444,35,37
26189500,North Richardmouth,2023-01-03,308,41,30
83749081,New Billy,2023-01-03,63,23,2
91889490,Griffinport,2023-01-03,467,5,33
41800749,East Sandramouth,2023-01-03,336,20,44
73836678,South Daniel,2023-01-03,158,10,12
24180885,Bobbybury,2023-01-03,204,13,28
39381816,Taylorstad,2023-01-03,316,50,35
27494158,North Ariel,2023-01-03,151,13,41
46266607,Jeffreystad,2023-01-03,265,36,15
41411741,Loganbury,2023-01-03,61,15,45
14707923,Schneiderview,2023-01-03,404,22,1
39414291,Washingtonside,2023-01-03,447,26,0
52627607,West Molly,2023-01-03,464,16,40
12096049,Tinaside,2023-01-03,291,30,44
64258488,East Andrewport,2023-01-03,336,21,7
12381489,East Kristimouth,2023-01-03,9,27,44
23794514,Robertland,2023-01-03,59,0,38
69897469,Rileychester,2023-01-03,203,33,50
36090818,East Julia,2023-01-03,373,47,27
28551812,East Jennifer,2023-01-03,483,25,38
45401298,South Pamela,2023-01-03,268,0,11
24467771,West Brett,2023-01-03,87,12,18
57312547,North Paula,2023-01-03,262,45,0
55785654,Port Derek,2023-01-03,454,11,7
97236566,Lake Stephanie,2023-01-03,322,42,3
44881444,East Gary,2023-01-03,214,48,28
66317115,Andreafurt,2023-01-03,200,39,29
92004118,West Nathaniel,2023-01-03,77,40,41
27013178,Lake Curtis,2023-01-03,453,37,41
50100961,North Sherry,2023-01-03,344,27,26
56078737,Stantonview,2023-01-03,110,40,41
41352752,Oconnorstad,2023-01-03,95,44,33
48560892,Floresville,2023-01-03,35,29,49
41374841,Castilloside,2023-01-03,359,36,33
64747487,Bryanttown,2023-01-03,184,21,47
93891638,Andrewland,2023-01-03,266,23,39
86209673,Ryanchester,2023-01-03,300,23,24
55627792,South Jerry,2023-01-03,188,21,18
46588675,North Matthewland,2023-01-03,52,21,27
71446606,Melissabury,2023-01-03,416,21,37
50286403,North Kellybury,2023-01-03,462,2,5
34146077,Clarkeburgh,2023-01-03,18,15,48
18997766,Danielberg,2023-01-03,109,4,3
41908272,Port Edwardfort,2023-01-03,57,26,28
30120626,East Maryberg,2023-01-03,37,39,11
66652473,Courtneychester,2023-01-03,431,11,39
19735518,East Jennifer,2023-01-03,116,30,26
84884142,Cindyland,2023-01-03,111,50,12
91284846,Port Natalie,2023-01-03,274,38,25
42815710,Williamsland,2023-01-03,456,7,22
85717482,Michaelfort,2023-01-03,219,17,40
72700689,East Joyce,2023-01-03,320,26,41
32688088,Holmesstad,2023-01-03,145,4,19
57814296,Dawnfurt,2023-01-03,217,47,42
33979793,North Evan,2023-01-03,398,2,14
78712716,Port Shannonstad,2023-01-03,309,26,34
34377141,Port Shawn,2023-01-03,145,49,20
70185597,Jonestown,2023-01-03,359,15,4
96763299,Walterville,2023-01-03,250,40,47
31802523,Jeanetteton,2023-01-03,192,45,45
71491068,West Catherineshire,2023-01-03,459,32,6
59149190,Baldwinmouth,2023-01-03,354,3,50
96691961,South Jacob,2023-01-03,224,32,15
39803447,Emmaland,2023-01-03,127,39,43
14771357,Brucetown,2023-01-03,252,42,18
61151740,Port Kimberly,2023-01-03,474,39,11
27405738,Seanville,2023-01-03,113,12,28
93417020,Hubbardfort,2023-01-03,65,29,33
61971293,Andrewsport,2023-01-03,52,0,0
49250863,Teresaside,2023-01-03,67,13,34
72299191,Robinsonton,2023-01-03,100,49,44
24527043,Lake Jeffery,2023-01-03,134,30,29
51028650,Lake Robertfurt,2023-01-03,320,4,19
77648765,New Tylerfurt,2023-01-03,15,38,48
39250452,Tonyfort,2023-01-03,96,32,2
15914105,Alexandriafurt,2023-01-03,157,47,14
84018796,South Michael,2023-01-03,108,9,16
64035607,South Kaylaborough,2023-01-03,167,44,1
28682811,Lynnshire,2023-01-03,55,0,36
69803638,Brownville,2023-01-03,255,41,16
34895830,Jacksonburgh,2023-01-03,5,16,11
64662276,Lorettaberg,2023-01-03,48,19,39
65818192,Toddtown,2023-01-03,258,11,13
10610681,Port Pamela,2023-01-03,162,40,36
55052289,Faulknerfort,2023-01-03,295,18,48
29072094,New Seanview,2023-01-03,455,31,36
87673760,North Thomasside,2023-01-03,401,5,38
40550908,Laurenbury,2023-01-03,215,2,49
61835430,Russellville,2023-01-03,479,46,36
30127786,Port Christine,2023-01-03,300,27,46
44367877,Knighthaven,2023-01-03,110,34,12
