Sales_ID,Date,Product_Name,Quantity_Sold,Sales_Amount
1089,2023-06-02,reflect Cereal,4,292
1090,2023-03-17,image LightSkyBlue Cream,1,71
1091,2023-07-21,LightPink find Cleaner,9,747
1092,2023-12-13,available PaleVioletRed Cream,7,343
1093,2023-05-27,attack Candy,6,102
1095,2023-11-08,provide Bakery Item,7,595
1096,2023-10-08,change Cereal,9,441
1097,2023-10-31,Moccasin challenge Drink,1,109
1098,2023-02-01,star Cereal,7,1190
1099,2023-02-15,idea Pet remain,4,320
1100,2023-06-28,action BlanchedAlmond Cream,6,852
1101,2023-08-22,interest Snack,8,1456
1102,2023-05-26,design Bakery Item,8,1224
1103,2023-10-26,suggest Dairy,8,1424
1104,2023-02-12,lead Pet stay,2,150
1105,2023-08-27,they Dairy,1,190
1106,2023-06-07,security Pet police,5,765
1107,2023-10-09,buy Pet car,8,488
1108,2023-11-23,but Pet have,9,711
1109,2023-10-05,country Candy,8,336
1110,2023-07-12,east Candy,8,1464
1111,2023-05-27,cost Cereal,3,372
1112,2023-08-03,cost Cereal,4,344
1114,2023-02-22,big Candy,9,1413
1115,2023-02-13,MediumPurple water Drink,10,610
1116,2023-09-08,fast DarkOliveGreen Cream,5,420
1117,2023-01-30,office Pet carry,1,191
1118,2023-03-11,message Bakery Item,2,400
1120,2023-01-27,Sienna respond Drink,2,136
1121,2023-02-25,if Pet owner,8,1344
1122,2023-06-13,civil Candy,9,738
1123,2023-10-17,Magenta share Cleaner,3,531
1125,2023-05-31,star Cereal,10,840
1126,2023-09-05,attack Candy,2,350
1129,2023-11-17,environment Snack,2,206
1130,2023-10-03,office Pet carry,8,824
1131,2023-02-13,Silver old Drink,4,748
1133,2023-08-30,almost Dairy,2,214
1134,2023-04-07,director Frozen site,8,1256
1136,2023-12-26,management Bakery Item,5,400
1137,2023-07-25,across Cereal,3,564
1138,2023-10-23,thing Bakery Item,9,693
1140,2023-10-06,doctor Bakery Item,7,539
1141,2023-10-26,Turquoise of Drink,1,173
1142,2023-03-26,phone Dairy,8,1560
1143,2023-07-14,word Pet often,10,1350
1144,2023-11-28,particular Candy,9,1152
1147,2023-05-07,attack Candy,6,660
1148,2023-12-17,design Bakery Item,1,121
1150,2023-01-12,catch Pet music,7,1183
1151,2023-04-05,Turquoise of Drink,9,783
1152,2023-10-24,bad Cereal,9,1692
1153,2023-01-02,figure Snack,4,352
1154,2023-03-12,set LawnGreen Cream,7,259
1155,2023-03-06,but Pet have,4,692
1156,2023-08-13,cost Cereal,7,315
1157,2023-10-08,Aqua whose Drink,3,222
1158,2023-08-19,DarkGoldenRod your Drink,4,624
1159,2023-01-03,buy Pet car,5,75
1161,2023-07-23,PeachPuff sign Drink,9,711
1162,2023-02-26,they Dairy,9,1530
1163,2023-12-30,SaddleBrown according Drink,1,115
1164,2023-02-26,those Frozen finish,4,624
1165,2023-06-13,movie Bakery Item,4,560
1166,2023-10-31,respond Bakery Item,1,16
1167,2023-02-22,guess Snack,8,976
1168,2023-05-14,condition Dairy,9,1008
1169,2023-08-02,but Pet have,9,1647
1170,2023-05-31,forward Candy,9,558
1171,2023-10-20,poor MediumTurquoise Cream,5,530
1172,2023-04-30,whole Snack,5,70
1173,2023-04-02,while Dairy,8,1320
1175,2023-07-22,thing Bakery Item,5,330
1176,2023-09-05,design Bakery Item,6,696
1177,2023-08-17,ten Bakery Item,9,1467
1178,2023-01-01,LightBlue program Drink,2,386
1179,2023-10-05,change Cereal,7,497
1180,2023-10-29,LightCyan share Drink,7,728
1181,2023-12-16,Turquoise of Drink,10,1250
1182,2023-04-14,it Snack,5,360
1183,2023-12-12,whatever Dairy,6,978
1184,2023-01-03,condition Dairy,10,1480
1185,2023-08-07,few Bakery Item,1,122
1187,2023-02-24,soldier Cereal,10,910
1189,2023-01-28,able Frozen walk,2,242
1191,2023-08-13,lead Pet stay,9,1746
1192,2023-05-26,life DarkSalmon Cream,3,534
1193,2023-04-23,phone GoldenRod Cream,9,972
1195,2023-07-07,level Bakery Item,8,728
1196,2023-02-23,Chartreuse record Drink,5,425
1197,2023-12-11,drug Snack,6,204
1198,2023-01-27,Silver old Drink,5,625
1201,2023-11-23,language Frozen that,7,483
1202,2023-09-07,DarkGoldenRod wish Drink,5,185
1203,2023-02-06,yourself Cereal,9,891
1204,2023-01-25,usually Frozen recent,6,222
1205,2023-06-27,star Pet stand,1,134
1206,2023-10-24,course Bakery Item,4,292
1208,2023-07-18,drug Snack,10,440
1209,2023-08-13,practice Pet church,5,420
1210,2023-11-10,experience Frozen key,2,54
1211,2023-08-16,respond Bakery Item,5,255
1213,2023-08-17,LightCyan share Drink,6,132
1214,2023-11-11,security Pet police,6,252
1215,2023-07-24,like Frozen wear,10,930
1216,2023-02-22,across Cereal,6,672
1217,2023-09-18,whole Snack,5,580
1220,2023-09-17,man CornflowerBlue Cream,5,335
1221,2023-06-10,this Snack,9,1305
1222,2023-01-31,technology Snack,1,93
1223,2023-06-09,LightPink find Cleaner,1,196
1224,2023-10-05,bit Snack,5,815
1225,2023-02-21,whole Snack,4,44
1227,2023-09-16,guess Snack,6,312
1228,2023-11-29,southern Bakery Item,5,570
1230,2023-08-11,may Dairy,8,592
1231,2023-09-15,available PaleVioletRed Cream,8,1080
1232,2023-08-11,good Frozen tax,5,960
1233,2023-04-13,cultural Pet list,9,1242
1234,2023-05-03,MediumPurple water Drink,10,1800
1235,2023-12-21,heart Bakery Item,1,148
1236,2023-04-14,hot Candy,5,100
1238,2023-12-29,heavy Snack,9,1674
1239,2023-06-04,Lime talk Cleaner,7,476
1240,2023-07-22,customer Snack,8,1384
1242,2023-09-02,DarkGoldenRod wish Drink,1,167
1245,2023-05-13,movie Bakery Item,8,984
1246,2023-10-29,hot Candy,8,1424
1248,2023-08-15,she Bakery Item,6,666
1250,2023-09-04,stage Frozen century,7,1008
1252,2023-11-14,poor MediumTurquoise Cream,7,126
1254,2023-06-16,DodgerBlue not Drink,2,194
1255,2023-11-21,movie Bakery Item,10,1130
1256,2023-06-26,DeepSkyBlue eye Drink,4,236
1257,2023-06-03,suggest Dairy,6,612
1258,2023-09-05,environmental Bakery Item,8,696
1259,2023-11-16,available PaleVioletRed Cream,5,315
1261,2023-04-07,ok Bakery Item,9,396
1262,2023-08-27,consumer Bakery Item,1,162
1263,2023-03-26,media Dairy,1,87
1264,2023-12-07,management Bakery Item,1,108
1265,2023-09-27,attack Candy,2,324
1266,2023-08-16,time Candy,2,102
1267,2023-01-03,figure Snack,2,298
1268,2023-03-07,able Frozen walk,6,96
1269,2023-05-10,suggest Pet production,1,113
1270,2023-12-08,phone GoldenRod Cream,2,388
1271,2023-10-26,although Pet husband,10,1660
1272,2023-08-08,the Pet none,5,575
1273,2023-02-17,PeachPuff sign Drink,4,488
1274,2023-09-24,heart Bakery Item,4,280
1275,2023-11-04,stage Frozen century,6,582
1276,2023-03-23,across Cereal,9,864
1277,2023-06-18,never Cereal,4,144
1278,2023-12-12,improve Beige Cream,3,36
1280,2023-01-16,and Pet low,8,1512
1281,2023-07-22,bad Cereal,3,408
1283,2023-12-03,interview Frozen add,9,468
1284,2023-10-21,Chartreuse record Drink,9,882
1285,2023-08-11,but Pet have,3,519
1286,2023-03-19,lead Pet stay,1,149
1287,2023-02-01,us Cereal,4,668
1288,2023-01-30,trip Dairy,7,1022
1289,2023-03-04,DarkGoldenRod your Drink,7,539
1290,2023-10-11,drug Snack,1,74
1291,2023-03-24,language Frozen that,9,999
1292,2023-03-15,think Frozen seven,8,208
1293,2023-04-22,buy Pet car,7,637
1294,2023-01-01,interest Snack,1,150
1297,2023-06-30,thing Bakery Item,1,74
1298,2023-08-08,score Frozen simple,10,150
1299,2023-02-10,civil Candy,10,780
1300,2023-07-10,perform Snack,8,784
1301,2023-05-17,cost Cereal,5,795
1302,2023-06-06,MediumPurple water Drink,7,203
1303,2023-08-21,hot Candy,10,1010
1305,2023-11-13,of Candy,2,184
1307,2023-10-18,guess Snack,3,417
1308,2023-07-25,phone GoldenRod Cream,4,108
1309,2023-12-23,take Candy,3,342
1310,2023-05-07,similar Candy,9,567
1311,2023-10-22,property Cereal,7,196
1312,2023-01-08,together Snack,3,111
1313,2023-02-07,bit Snack,5,615
1314,2023-10-16,ten Bakery Item,4,68
1315,2023-03-08,usually Frozen recent,10,1170
1317,2023-04-04,environment Snack,7,784
1319,2023-12-06,act LawnGreen Cream,3,471
1321,2023-05-24,guess Turquoise Cream,9,1512
1322,2023-01-01,DeepSkyBlue eye Drink,7,294
1323,2023-09-30,time Candy,9,252
1327,2023-02-07,Aqua whose Drink,2,206
1330,2023-05-17,she Bakery Item,4,192
1331,2023-10-07,others Frozen turn,6,1200
1332,2023-08-08,respond Bakery Item,3,387
1333,2023-06-08,LightCyan share Drink,9,423
1334,2023-02-03,simply Orchid Cream,3,249
1335,2023-05-03,provide Bakery Item,8,1336
1336,2023-07-27,cost Cereal,8,824
1337,2023-04-13,few Bakery Item,8,424
1338,2023-04-08,good Frozen tax,10,270
1340,2023-01-22,Lavender world Drink,3,453
1341,2023-04-23,expect Candy,5,545
1342,2023-11-13,guess Turquoise Cream,2,24
1343,2023-03-02,star Cereal,10,910
1344,2023-12-13,smile Cereal,10,470
1345,2023-05-23,similar Snack,3,276
1346,2023-12-06,increase Bakery Item,7,504
1348,2023-04-19,poor MediumTurquoise Cream,3,288
1352,2023-07-27,Purple will Cleaner,9,990
1353,2023-05-10,DarkBlue cold Cleaner,4,772
1354,2023-04-08,Lavender director Cleaner,4,536
1358,2023-08-16,condition Dairy,4,744
1359,2023-05-15,on Dairy,6,1176
1360,2023-08-23,thing Bakery Item,6,150
1363,2023-04-14,manage Candy,5,915
1364,2023-04-10,WhiteSmoke baby Drink,7,168
1365,2023-10-12,catch Pet music,8,1568
1366,2023-04-18,take Candy,3,573
1368,2023-03-22,us Cereal,5,235
1370,2023-01-01,suggest Dairy,7,280
1371,2023-08-30,other Snack,5,495
1372,2023-02-03,perform Snack,9,351
1373,2023-08-09,land Snack,8,192
1374,2023-03-04,DarkSalmon system Drink,4,144
1375,2023-08-14,whole Snack,9,207
1376,2023-12-04,natural Snack,2,108
1378,2023-10-05,increase Bakery Item,4,212
1379,2023-10-27,catch Pet music,4,464
1380,2023-09-21,set LawnGreen Cream,5,315
1381,2023-03-10,across Cereal,2,212
1382,2023-05-15,measure DarkViolet Cream,3,366
1383,2023-09-26,represent Snack,8,592
1384,2023-10-20,her Cereal,6,930
1386,2023-12-09,across Cereal,1,51
1390,2023-12-20,fall Bakery Item,5,820
1391,2023-09-10,DarkSalmon system Drink,9,423
1392,2023-11-09,level Bakery Item,2,222
1393,2023-02-02,poor MediumTurquoise Cream,1,96
1394,2023-05-10,college Bakery Item,9,1647
1395,2023-05-25,subject Bakery Item,3,375
1396,2023-11-02,condition Dairy,7,245
1397,2023-05-07,SlateGray safe Cleaner,4,544
1398,2023-02-02,only Frozen each,2,42
1399,2023-01-30,perform Snack,4,768
1400,2023-02-18,bit Snack,8,1584
1401,2023-03-12,hot Candy,6,222
1403,2023-02-15,cultural Pet list,5,460
1406,2023-04-18,Purple will Cleaner,5,545
1408,2023-01-28,similar Candy,5,620
1409,2023-02-22,improve Beige Cream,10,1040
1410,2023-06-01,the Pet none,6,702
1412,2023-12-02,PaleGoldenRod find Drink,1,39
1413,2023-04-27,PeachPuff sign Drink,1,100
1416,2023-07-31,those Frozen finish,2,32
1417,2023-09-13,laugh Dairy,8,1232
1419,2023-11-02,respond Bakery Item,2,370
1420,2023-08-07,civil Candy,8,88
1421,2023-10-24,positive Cereal,10,1100
1422,2023-02-27,phone GoldenRod Cream,7,189
1423,2023-04-11,message Bakery Item,7,1127
1424,2023-08-10,smile Cereal,6,162
1427,2023-02-27,others Frozen turn,4,168
1428,2023-03-21,practice Pet church,6,756
1429,2023-08-09,office Pet carry,7,455
1430,2023-05-09,Turquoise of Drink,5,840
1431,2023-11-21,cultural Pet list,9,1431
1432,2023-12-02,wrong Pet money,6,690
1433,2023-07-10,other Snack,7,826
1435,2023-09-10,experience Frozen key,7,735
1436,2023-12-22,star Pet sometimes,9,504
1437,2023-12-08,almost Dairy,2,264
1438,2023-05-09,and Pet low,2,296
1439,2023-11-06,LightCyan share Drink,10,100
1440,2023-03-10,guess Pet who,1,81
1441,2023-05-15,director Frozen site,6,576
1442,2023-05-04,Lavender director Cleaner,10,510
1444,2023-12-25,design Bakery Item,8,680
1445,2023-09-28,increase Bakery Item,1,169
1446,2023-09-02,others Frozen turn,1,160
1447,2023-09-08,manage Candy,2,266
1448,2023-02-27,figure Snack,10,860
1449,2023-11-02,goal Bakery Item,9,963
1450,2023-02-19,SlateBlue question Cleaner,2,268
1451,2023-02-27,condition Dairy,10,550
1453,2023-01-13,similar Candy,5,260
1454,2023-09-23,figure Snack,8,264
1455,2023-06-28,item Gold Cream,7,343
1456,2023-01-01,interview Frozen add,4,108
1457,2023-01-25,painting Bakery Item,4,572
1458,2023-07-19,Purple will Cleaner,3,513
1460,2023-03-12,almost Dairy,1,73
1461,2023-10-26,phone GoldenRod Cream,1,116
1462,2023-12-15,Aqua whose Drink,4,156
1463,2023-07-10,time Candy,1,60
1464,2023-07-21,almost Dairy,2,194
1466,2023-04-13,DarkRed project Cleaner,1,165
1467,2023-08-31,fast DarkOliveGreen Cream,1,147
1468,2023-08-21,this Snack,6,120
1469,2023-10-28,smile Cereal,5,695
1470,2023-03-02,bit Snack,9,1746
1472,2023-10-15,LightGray yard Drink,9,1125
1474,2023-01-24,property Cereal,10,2000
1475,2023-12-09,LightBlue program Drink,1,190
1476,2023-05-08,order Frozen two,2,44
1477,2023-11-18,and Pet low,8,432
1479,2023-05-14,media Dairy,2,380
1482,2023-08-22,get Dairy,2,344
1483,2023-04-29,smile Cereal,2,366
1484,2023-09-20,LightPink find Cleaner,8,80
1486,2023-12-23,experience Frozen key,10,1920
1487,2023-01-13,star Pet stand,3,279
1488,2023-12-20,your Pet forward,10,1160
1489,2023-12-07,hour Snack,9,576
1491,2023-10-15,laugh Dairy,4,676
1492,2023-07-21,provide Bakery Item,4,84
1493,2023-01-16,Moccasin challenge Drink,2,106
1494,2023-11-21,rest Candy,10,210
1496,2023-10-16,country Candy,10,260
1497,2023-06-26,catch Pet music,9,387
1498,2023-06-29,reality Dairy,9,1260
1501,2023-05-21,action BlanchedAlmond Cream,9,1746
1502,2023-07-04,star Pet sometimes,6,270
1503,2023-04-06,if Pet owner,2,176
1504,2023-05-08,DarkGoldenRod wish Drink,6,294
1505,2023-05-28,respond Bakery Item,4,680
1506,2023-09-12,fast DarkOliveGreen Cream,10,740
1507,2023-03-25,along HoneyDew Cream,1,84
1508,2023-10-24,land Snack,1,163
1509,2023-09-18,DarkBlue cold Cleaner,10,400
1510,2023-07-09,fast DarkOliveGreen Cream,1,45
1511,2023-12-02,position Bakery Item,9,1719
1512,2023-03-27,Magenta little Drink,3,513
1513,2023-11-10,it Snack,10,1030
1514,2023-04-12,particular Candy,6,618
1516,2023-04-11,worry Candy,3,30
1517,2023-08-28,positive Cereal,5,505
1518,2023-03-21,interview Frozen add,1,63
1520,2023-01-04,media Dairy,4,784
1521,2023-09-26,star Cereal,3,219
1524,2023-01-18,media Dairy,2,312
1526,2023-10-26,condition Dairy,6,384
1530,2023-04-03,SlateGray safe Cleaner,5,320
1531,2023-12-15,order Frozen two,1,17
1532,2023-04-01,respond Bakery Item,6,402
1534,2023-09-13,doctor Bakery Item,9,315
1535,2023-01-05,of Candy,3,303
1536,2023-12-17,GoldenRod during Cleaner,3,468
1537,2023-01-16,Silver old Drink,1,169
1538,2023-07-26,along HoneyDew Cream,3,585
1539,2023-02-09,themselves Cyan Cream,8,280
1540,2023-10-18,those Frozen finish,3,561
1541,2023-12-05,SlateGray safe Cleaner,8,768
1542,2023-06-28,bad Cereal,9,486
1543,2023-10-03,reality Dairy,6,1020
1544,2023-02-28,middle Snack,10,1240
1545,2023-08-09,star Pet sometimes,2,248
1546,2023-10-22,think Frozen seven,4,116
1547,2023-03-31,LightPink find Cleaner,8,1168
1551,2023-04-01,positive Cereal,8,1320
1553,2023-12-28,trip Dairy,3,501
1554,2023-02-04,wrong Pet money,2,278
1556,2023-04-07,option Dairy,6,684
1557,2023-12-06,environmental Bakery Item,7,1092
1558,2023-01-16,but Pet have,3,228
1559,2023-10-10,MediumPurple water Drink,5,840
1560,2023-02-19,across Cereal,8,744
1563,2023-05-29,consumer Bakery Item,7,644
1565,2023-10-01,owner Snack,6,408
1566,2023-04-30,east Candy,10,1920
1567,2023-10-25,trip Dairy,1,80
1568,2023-02-23,they Pet turn,2,312
1569,2023-02-12,DarkBlue cold Cleaner,10,510
1570,2023-01-04,establish Cereal,2,38
1571,2023-07-07,suggest Pet production,4,44
1574,2023-11-23,bit Snack,10,1520
1575,2023-07-06,man CornflowerBlue Cream,2,296
1576,2023-07-06,guess Pet who,9,909
1578,2023-01-15,bad Cereal,8,1160
1579,2023-01-22,environmental Bakery Item,10,670
1580,2023-09-07,able Frozen walk,1,126
1581,2023-06-04,thing Bakery Item,4,632
1582,2023-06-15,course Bakery Item,9,567
1583,2023-12-11,almost Dairy,6,576
1585,2023-08-16,item Gold Cream,4,644
1586,2023-09-01,measure DarkViolet Cream,3,192
1589,2023-04-15,message Bakery Item,7,189
1590,2023-03-14,hot Candy,1,52
1591,2023-07-04,wrong Pet money,6,1128
1592,2023-05-30,others Frozen turn,2,380
1594,2023-12-15,word Pet often,8,144
1595,2023-04-23,cost Cereal,3,96
1596,2023-03-12,SlateBlue question Cleaner,3,309
1597,2023-03-28,man CornflowerBlue Cream,2,160
1598,2023-06-13,interest Snack,5,345
1599,2023-02-16,LightBlue program Drink,4,408
1600,2023-08-10,item Gold Cream,1,31
1601,2023-10-12,level Bakery Item,10,200
1602,2023-02-16,east Candy,2,134
1603,2023-06-23,themselves Cyan Cream,6,480
1604,2023-12-20,others Frozen turn,5,190
1605,2023-07-10,DodgerBlue not Drink,6,366
1606,2023-01-23,which LimeGreen Cream,6,840
1608,2023-10-21,Lime talk Cleaner,5,880
1609,2023-06-23,image LightSkyBlue Cream,5,930
1610,2023-12-12,Lavender director Cleaner,7,644
1611,2023-03-29,other Snack,9,1359
1612,2023-06-04,only Frozen each,9,945
1614,2023-03-26,word Pet often,6,888
1615,2023-11-30,fast DarkOliveGreen Cream,9,1746
1617,2023-04-27,yourself Cereal,8,1016
1618,2023-09-24,trip Dairy,6,456
1619,2023-02-06,DarkRed project Cleaner,10,350
1620,2023-12-03,much Bakery Item,4,192
1621,2023-03-27,perform Snack,8,744
1622,2023-09-12,phone GoldenRod Cream,4,760
1624,2023-03-03,her Cereal,10,810
1625,2023-11-01,trip Dairy,5,800
1626,2023-08-16,she Bakery Item,9,153
1627,2023-04-21,forward Candy,1,72
1628,2023-08-13,guess Snack,10,1800
1629,2023-01-21,provide Bakery Item,3,258
1630,2023-10-19,stage Frozen century,4,420
1632,2023-12-16,respond Cereal,1,10
1633,2023-06-07,whatever Dairy,5,775
1634,2023-08-15,interest Snack,2,320
1636,2023-04-10,she Bakery Item,9,468
1638,2023-05-07,Thistle institution Cleaner,7,455
1640,2023-01-07,rest Candy,7,1141
1641,2023-07-10,much Bakery Item,8,824
1642,2023-06-29,themselves Cyan Cream,7,1372
1644,2023-03-19,class Bakery Item,3,600
1645,2023-10-22,participant MistyRose Cream,3,60
1647,2023-08-01,able Frozen walk,1,160
1648,2023-12-05,course Bakery Item,10,1350
1649,2023-10-23,it Cereal,7,994
1650,2023-01-27,forward Candy,10,880
1651,2023-12-22,participant MistyRose Cream,5,170
1652,2023-01-17,DodgerBlue not Drink,6,1038
1653,2023-02-04,they Pet turn,9,747
1654,2023-04-17,Magenta share Cleaner,9,1152
1655,2023-03-04,heavy Snack,4,732
1660,2023-01-16,cost Cereal,3,423
1661,2023-11-09,word Pet often,4,584
1662,2023-08-31,thing Bakery Item,1,138
1663,2023-07-17,interest Snack,8,1416
1664,2023-10-08,others Frozen turn,5,655
1665,2023-11-20,interview Frozen add,6,300
1667,2023-12-03,land Snack,7,644
1668,2023-02-24,few Bakery Item,9,1233
1669,2023-11-02,heart Bakery Item,9,162
1670,2023-11-01,on Dairy,4,516
1671,2023-08-11,of Candy,9,279
1672,2023-01-22,heart Bakery Item,10,540
1674,2023-07-23,office Pet carry,7,1288
1675,2023-09-13,course Bakery Item,8,1112
1676,2023-06-09,experience Frozen key,2,272
1677,2023-05-13,bit Snack,3,375
1680,2023-09-01,her Cereal,2,192
1682,2023-02-20,few Bakery Item,1,142
1684,2023-05-13,cost Cereal,8,816
1685,2023-05-31,whole Snack,2,224
1689,2023-01-01,of Candy,3,495
1690,2023-10-20,yourself Cereal,2,276
1691,2023-08-13,laugh Dairy,4,124
1692,2023-08-05,DarkGoldenRod your Drink,2,186
1693,2023-09-30,available PaleVioletRed Cream,3,474
1694,2023-05-20,but Pet have,10,1160
1695,2023-03-08,message Bakery Item,2,162
1696,2023-02-22,if Pet owner,1,31
1697,2023-05-05,LightGray yard Drink,5,620
1698,2023-12-18,perform Snack,4,316
1699,2023-04-03,LightPink find Cleaner,5,980
1700,2023-09-03,WhiteSmoke baby Drink,10,1370
1701,2023-05-14,particular Candy,5,715
1702,2023-03-30,almost Dairy,7,294
1705,2023-01-06,DarkSalmon system Drink,9,207
1706,2023-08-11,SaddleBrown according Drink,9,504
1709,2023-12-16,man CornflowerBlue Cream,10,330
1710,2023-04-03,Chartreuse record Drink,6,114
1711,2023-11-10,if Pet owner,9,1161
1712,2023-05-10,cost Cereal,5,575
1715,2023-05-13,it Cereal,3,405
1716,2023-12-29,reflect Cereal,4,300
1717,2023-02-26,set LawnGreen Cream,7,308
1718,2023-11-02,your Pet forward,10,1020
1719,2023-09-19,they Pet turn,8,1408
1720,2023-10-25,middle Snack,1,83
1721,2023-03-04,they Dairy,5,305
1723,2023-04-17,GoldenRod during Cleaner,5,910
1724,2023-05-02,DarkRed project Cleaner,9,882
1725,2023-09-16,whole Snack,3,135
1726,2023-01-12,bad Cereal,10,1560
1727,2023-12-08,big Candy,4,484
1728,2023-03-26,those Frozen finish,10,1850
1729,2023-01-10,bad Cereal,5,410
1732,2023-09-11,star Pet sometimes,9,1269
1733,2023-05-31,point Frozen grow,7,1400
1734,2023-12-15,of Candy,2,226
1735,2023-12-29,those Frozen finish,6,1062
1736,2023-10-30,civil Candy,9,513
1738,2023-11-25,fall Bakery Item,6,966
1739,2023-03-30,ten Bakery Item,4,572
1741,2023-01-15,star Cereal,5,695
1742,2023-12-28,smile Cereal,8,1288
1744,2023-08-29,trip Dairy,8,1560
1745,2023-04-20,PeachPuff sign Drink,8,376
1746,2023-11-03,drug Snack,3,513
1747,2023-09-17,environmental Bakery Item,2,86
1748,2023-02-24,forward Candy,6,870
1749,2023-03-17,improve Beige Cream,2,388
1751,2023-05-26,civil Candy,8,440
1752,2023-01-12,attack Candy,3,516
1754,2023-06-07,Moccasin challenge Drink,7,1148
1755,2023-10-23,measure DarkViolet Cream,5,445
1756,2023-07-09,may Dairy,2,74
1757,2023-11-30,this Snack,5,475
1758,2023-09-30,act LawnGreen Cream,2,360
1759,2023-07-28,she Bakery Item,10,1160
1761,2023-01-19,level Bakery Item,2,396
1762,2023-04-08,environment Snack,10,230
1763,2023-11-09,fast DarkOliveGreen Cream,9,819
1764,2023-03-12,message Bakery Item,5,150
1765,2023-07-25,heart Bakery Item,9,1341
1767,2023-03-03,customer Snack,9,666
1768,2023-04-04,staff Candy,9,882
1769,2023-05-21,if Pet owner,3,132
1770,2023-03-21,media Dairy,4,136
1771,2023-06-26,score Frozen simple,2,288
1772,2023-07-09,suggest Dairy,10,880
1773,2023-06-04,laugh Dairy,2,128
1774,2023-10-27,if Pet owner,3,258
1775,2023-08-10,positive Cereal,7,294
1778,2023-01-20,simply Orchid Cream,5,385
1779,2023-02-25,bad Cereal,1,181
1782,2023-05-17,SlateBlue question Cleaner,5,255
1783,2023-09-17,MediumPurple water Drink,7,994
1785,2023-04-04,participant MistyRose Cream,7,1162
1787,2023-01-06,security Pet police,6,378
1788,2023-03-12,bad Cereal,10,1820
1790,2023-11-29,interview Frozen add,4,320
1792,2023-05-10,bad Cereal,4,44
1793,2023-06-12,experience Frozen key,5,660
1794,2023-10-31,suggest Pet production,7,742
1795,2023-01-08,reality Dairy,10,250
1797,2023-12-25,establish Cereal,3,63
1800,2023-12-07,subject Bakery Item,5,775
1801,2023-11-28,lead Pet stay,3,306
1802,2023-12-18,DarkGoldenRod your Drink,3,138
1803,2023-06-20,office Pet carry,8,1176
1804,2023-08-22,while Dairy,7,763
